"","vals","vale"
"1",1,346
"2",347,671
"3",672,1030
"4",1031,1373
"5",1374,1705
"6",1706,2065
"7",2066,295
"8",296,565
"9",566,863
"10",864,1146
"11",1147,1435
"12",1436,1712
"13",1713,176
"14",177,363
"15",364,543
"16",544,727
"17",728,908
"18",909,1086
"19",1087,306
"20",307,609
"21",610,910
"22",911,1212
"23",1213,1518
"24",1519,1833
"25",1834,587
"26",588,1159
"27",1160,1729
"28",1730,691
"29",692,1386
"30",1387,2098
"31",2099,441
"32",442,908
"33",909,1371
"34",1372,613
"35",614,1216
"36",1217,1726
